id,value
DSC.PPMS 1
DSC.PPMS 1.PPMS_1_Magnetic_Field,9090
DSC.PPMS 1.PPMS_1_Temperature,9090
DSC.PPMS 2
DSC.PPMS 2.PPMS_2_Flow_Rate,9090
DSC.PPMS 2.PPMS_2_Helium_Level,9090
DSC.PPMS 2.PPMS_2_Magnetic_Field,9090
DSC.PPMS 2.PPMS_2_Position,9090
DSC.PPMS 2.PPMS_2_Sys_Pressure,9090
DSC.PPMS 2.PPMS_2_Temperature
DSC.PPMS 2.PPMS_2_Vbg,9090
DSC.PPMS 2.PPMS_2_Temperature_Status,9090
DSC.PPMS 2.PPMS_2_Magnet_Status,9090
DSC.PPMS2
DSC.PPMS2.PPMS2_Annulus_Pres_(Torr),9090
DSC.PPMS2.PPMS2_Annulus_Vacuum_(V),9090
DSC.PPMS2.PPMS2_Block_Htr_Cur_(mA),9090
DSC.PPMS2.PPMS2_Block_Htr_Pwr_(W),9090
DSC.PPMS2.PPMS2_BlockHeater(Ohm),9090
DSC.PPMS2.PPMS2_Bridge_1_Excitation_(uA),9090
DSC.PPMS2.PPMS2_Bridge_1_Resistance_(ohms),9090
DSC.PPMS2.PPMS2_Bridge_2_Excitation_(uA),9090
DSC.PPMS2.PPMS2_Bridge_2_Resistance_(ohms),9090
DSC.PPMS2.PPMS2_Bridge_3_Excitation_(uA),9090
DSC.PPMS2.PPMS2_Bridge_3_Resistance_(ohms),9090
DSC.PPMS2.PPMS2_Bridge_4_Excitation_(uA),9090
DSC.PPMS2.PPMS2_Bridge_4_Resistance_(ohms),9090
DSC.PPMS2.PPMS2_CIG_Cernox_(K),9090
DSC.PPMS2.PPMS2_CIG_Excit_(uA),9090
DSC.PPMS2.PPMS2_Comment,9090
DSC.PPMS2.PPMS2_DAC__I__(cnts),9090
DSC.PPMS2.PPMS2_Digital_Inputs_(code),9090
DSC.PPMS2.PPMS2_Drive_1_Iout_(mA),9090
DSC.PPMS2.PPMS2_Drive_1_Ipower_(watts),9090
DSC.PPMS2.PPMS2_Drive_2_Iout_(mA),9090
DSC.PPMS2.PPMS2_Drive_2_Ipower_(watts),9090
DSC.PPMS2.PPMS2_EXT_Flow_(L_min),9090
DSC.PPMS2.PPMS2_Flapper_state,9090
DSC.PPMS2.PPMS2_Flow_Rate_(l_min),9090
DSC.PPMS2.PPMS2_He_Level_(),9090
DSC.PPMS2.PPMS2_Hi_res_(A)_read,9090
DSC.PPMS2.PPMS2_High_Vacuum_mode,9090
DSC.PPMS2.PPMS2_Hires_enable,9090
DSC.PPMS2.PPMS2_Impedance_(mode),9090
DSC.PPMS2.PPMS2_iso_flag,9090
DSC.PPMS2.PPMS2_KRPMs,9090
DSC.PPMS2.PPMS2_Last_2_eng_st,9090
DSC.PPMS2.PPMS2_Log,9090
DSC.PPMS2.PPMS2_Mag_(V)_read,9090
DSC.PPMS2.PPMS2_Mag_(V)_set,9090
DSC.PPMS2.PPMS2_Mag_adj_sc(I)set,9090
DSC.PPMS2.PPMS2_Magnet_(Oe),9090
DSC.PPMS2.PPMS2_Magnetic_Field_(Oe),9090
DSC.PPMS2.PPMS2_Map_20_(),9090
DSC.PPMS2.PPMS2_Map_21_(),9090
DSC.PPMS2.PPMS2_Map_22_(),9090
DSC.PPMS2.PPMS2_Map_23_(),9090
DSC.PPMS2.PPMS2_Map_24_(),9090
DSC.PPMS2.PPMS2_Map_25_(),9090
DSC.PPMS2.PPMS2_Map_26_(),9090
DSC.PPMS2.PPMS2_Map_27_(),9090
DSC.PPMS2.PPMS2_Map_28_(),9090
DSC.PPMS2.PPMS2_Map_29_(),9090
DSC.PPMS2.PPMS2_Map_67_(),9090
DSC.PPMS2.PPMS2_Map_68_(),9090
DSC.PPMS2.PPMS2_Map_69_(),9090
DSC.PPMS2.PPMS2_Map_89_(),9090
DSC.PPMS2.PPMS2_Map_90_(),9090
DSC.PPMS2.PPMS2_Map_91_(),9090
DSC.PPMS2.PPMS2_Map_92_(),9090
DSC.PPMS2.PPMS2_Map_93_(),9090
DSC.PPMS2.PPMS2_Neck_Excit_(uA),9090
DSC.PPMS2.PPMS2_Neck_Htr_Cur_(mA),9090
DSC.PPMS2.PPMS2_Neck_Htr_Pwr_(W),9090
DSC.PPMS2.PPMS2_Neck_Therm_(K),9090
DSC.PPMS2.PPMS2_NeckHeater(Ohm),9090
DSC.PPMS2.PPMS2_Plat_Excit_(uA),9090
DSC.PPMS2.PPMS2_Plat_Therm_(K),9090
DSC.PPMS2.PPMS2_Pressure_(),9090
DSC.PPMS2.PPMS2_PSU_Field_(Oe),9090
DSC.PPMS2.PPMS2_Pump_power_(W),9090
DSC.PPMS2.PPMS2_Pump_temp_(C),9090
DSC.PPMS2.PPMS2_Redirected_55_(),9090
DSC.PPMS2.PPMS2_Redirected_56_(),9090
DSC.PPMS2.PPMS2_Redirected_57_(),9090
DSC.PPMS2.PPMS2_Redirected_58_(),9090
DSC.PPMS2.PPMS2_Redirected_59_(),9090
DSC.PPMS2.PPMS2_Redirected_61_(),9090
DSC.PPMS2.PPMS2_Regen_htr_flag,9090
DSC.PPMS2.PPMS2_Sample_Position_(deg),9090
DSC.PPMS2.PPMS2_Seq_Stat_(),9090
DSC.PPMS2.PPMS2_Setpoint_(K),9090
DSC.PPMS2.PPMS2_Signal_1_Vin_(V),9090
DSC.PPMS2.PPMS2_Signal_2_Vin_(V),9090
DSC.PPMS2.PPMS2_Spare_Excit_(uA),9090
DSC.PPMS2.PPMS2_Spare_Therm_(K),9090
DSC.PPMS2.PPMS2_Status_(code),9090
DSC.PPMS2.PPMS2_Sw_heater_state,9090
DSC.PPMS2.PPMS2_Sys_Temp_(),9090
DSC.PPMS2.PPMS2_System_Pres_(Torr),9090
DSC.PPMS2.PPMS2_System_Status_(code),9090
DSC.PPMS2.PPMS2_Tableless_Map53_(),9090
DSC.PPMS2.PPMS2_Tableless_Map54_(),9090
DSC.PPMS2.PPMS2_Temperature_(K),9090
DSC.PPMS2.PPMS2_Therm_v,9090
DSC.PPMS2.PPMS2_Time_Stamp_(sec),9090
DSC.PPMS2.PPMS2_Valve_Position_(deg),9090
DSC.PPMSDR
DSC.PPMSDR.PPMSDR_Annulus_Pres_(Torr),9090
DSC.PPMSDR.PPMSDR_Annulus_Vacuum_(V),9090
DSC.PPMSDR.PPMSDR_Block_Htr_Cur_(mA),9090
DSC.PPMSDR.PPMSDR_Block_Htr_Pwr_(W),9090
DSC.PPMSDR.PPMSDR_BlockHeater(Ohm),9090
DSC.PPMSDR.PPMSDR_Bridge_1_Excitation_(uA),9090
DSC.PPMSDR.PPMSDR_Bridge_1_Resistance_(ohms),9090
DSC.PPMSDR.PPMSDR_Bridge_2_Excitation_(uA),9090
DSC.PPMSDR.PPMSDR_Bridge_2_Resistance_(ohms),9090
DSC.PPMSDR.PPMSDR_Bridge_3_Excitation_(uA),9090
DSC.PPMSDR.PPMSDR_Bridge_3_Resistance_(ohms),9090
DSC.PPMSDR.PPMSDR_Bridge_4_Excitation_(uA),9090
DSC.PPMSDR.PPMSDR_Bridge_4_Resistance_(ohms),9090
DSC.PPMSDR.PPMSDR_CIG_Cernox_(K),9090
DSC.PPMSDR.PPMSDR_CIG_Excit_(uA),9090
DSC.PPMSDR.PPMSDR_Comment,9090
DSC.PPMSDR.PPMSDR_DAC__I__(cnts),9090
DSC.PPMSDR.PPMSDR_Digital_Inputs_(code),9090
DSC.PPMSDR.PPMSDR_Drive_1_Iout_(mA),9090
DSC.PPMSDR.PPMSDR_Drive_1_Ipower_(watts),9090
DSC.PPMSDR.PPMSDR_Drive_2_Iout_(mA),9090
DSC.PPMSDR.PPMSDR_Drive_2_Ipower_(watts),9090
DSC.PPMSDR.PPMSDR_EXT_Flow_(L_min),9090
DSC.PPMSDR.PPMSDR_Flapper_state,9090
DSC.PPMSDR.PPMSDR_Flow_Rate_(l_min),9090
DSC.PPMSDR.PPMSDR_He_Level_(),9090
DSC.PPMSDR.PPMSDR_Hi_res_(A)_read,9090
DSC.PPMSDR.PPMSDR_High_Vacuum_mode,9090
DSC.PPMSDR.PPMSDR_Hires_enable,9090
DSC.PPMSDR.PPMSDR_Impedance_(mode),9090
DSC.PPMSDR.PPMSDR_iso_flag,9090
DSC.PPMSDR.PPMSDR_KRPMs,9090
DSC.PPMSDR.PPMSDR_Last_2_eng_st,9090
DSC.PPMSDR.PPMSDR_Log,9090
DSC.PPMSDR.PPMSDR_low_res_(A)_read,9090
